Month,Year,Vol,Name,Work,Thlr.,Gr.,Repeat,FullName,Birth,Death
October,1798,1.02,Augustin,Favoritwalzer nach dem Böhmischen.,0,3,No,Augustin,,
October,1798,1.02,"Backofen, H.","Sonate pour la Harpe à crochets, avec accompagnement d’un Violon.",0,12,No,"Backofen, Johann Georg Heinrich",1768,1839
October,1798,1.02,"Backofen, H.",Recueil p. la Harpe à croch. Cah. 1.,0,16,No,"Backofen, Johann Georg Heinrich",1768,1839
October,1798,1.02,"Banck, J. C. H.",sechs Lieder fürs Klavier.,0,8,No,"Banck, J. C. H.",,
October,1798,1.02,Barmann,Trois Duos pour deux Flûtes. Op. 2.,0,16,No,"Barmann, Johann Friedrich",,
October,1798,1.02,Belleval,Trio pour la Harpe avec accompagnement de Viol. et Vlle.,1,0,No,"Belleval, Karl",,
October,1798,1.02,Christmanns,Oden und Lieder f. das Klavier.,0,20,No,"Christmann, Johann Friedrich",1752,1817
October,1798,1.02,"Conrad’s, J. G.",zwölf leichte Vorspiele für Anfänger im Orgelspielen.,0,6,No,"Conrad, J. G.",,
October,1798,1.02,"Delver, Fr.","Sonate p. le Pianoforte ou Clavecin, avec accomp. d’un Violon, composée de divers thêmes favoris des deux Opéras: la Fête du Soleil des Bramins, et le Mariage de Figaro.",0,16,No,"Delver, Friedrich",,
October,1798,1.02,"Durand, A. F.",Trois Duos pour deux Violons concertans. Oeuv. 2. Liv. I.,1,8,No,"Duranowski, August",1770,1834
October,1798,1.02,"Durand, A. F.",Trois Thêmes variés p. le Viol. et Violonc. Op. 4.,0,16,No,"Duranowski, August",1770,1834
October,1798,1.02,Eidenbenz,leichte Klavierstücke.,0,8,No,"Eidenbenz, Johann Christian Gottlob",1761,1799
October,1798,1.02,Eidenbenz,12 Lieder mit Begl. des Klaviers.,0,16,No,"Eidenbenz, Johann Christian Gottlob",1761,1799
October,1798,1.02,"Fleischmann, F.",Melodieen auf einige Lieder von der regierenden Fürstin von Neuwied.,0,12,No,"Fleischmann, Friedrich",1766,1798
October,1798,1.02,Gabler,"der Pilger am Jordan, mit Begleitung des Klaviers.",0,12,No,"Gabler, Christoph August",1767,1839
October,1798,1.02,Günther,"zwölf Anglaisen in 3/8 Takt, in 7stimmiger Musik mit Touren und deren Erklärung.",1,0,No,"Günther, S.",,
October,1798,1.02,"Haydn, Joseph",Sonate p. le Clavecin av. un Viol. et Vlle. Op. 88.,1,0,No,"Haydn, Joseph",1732,1809
October,1798,1.02,"Haydn, Joseph",Sonate pour le Clavecin ou Pianof. Op. 89.,0,12,No,"Haydn, Joseph",1732,1809
October,1798,1.02,Hellwigs,deutsche Lieder am Klavier zu singen.,0,16,No,"Hellwig, Karl Ludwig",1773,1838
October,1798,1.02,"Kellner, J. G.","Marsch der Leibgerde zu Hessen-Cassel, mit Variationen für das Pianoforte.",0,4,No,"Kellner, Johann Christoph",1736,1803
October,1798,1.02,"Knecht, J. H.","Orgelschule für Anfänger und Geübtere, 3te Abtheilung",4,0,No,"Knecht, Justin Heinrich",1752,1817
October,1798,1.02,Köhlers,VI Duos p. deux Flûtes. Op. IX.,0,18,No,"Köhler, Gottlieb Heinrich",1765,1833
October,1798,1.02,"Lodi, L.",La Morte di Mozart. Sinfonia per il Pianof. Op. 27.,0,8,No,"Lodi, L.",,
October,1798,1.02,"Lodi, L.",Capriccio per il Pianof. Op. XVI.,0,12,No,"Lodi, L.",,
October,1798,1.02,"Lodi, L.",Sonate per il Pianof. Op. XVIII.,0,16,No,"Lodi, L.",,
October,1798,1.02,Maizier,musikalische Bagatellen fürs Klavier. 1s Heft.,0,12,No,"Maizier, Karl Wilhelm",,
October,1798,1.02,,"Marche du Général Buonaparté, variée p. le Pianof., par A. E. Müller. Op. 15.",0,12,No,,,
October,1798,1.02,Mezger,"12 petites pièces p. le Pianoforte, d’une difficulté progressive, composées à l’usage des commençans.",0,8,No,"Mezger, Franz",,
October,1798,1.02,Mezger,3 Sonates faciles p. le Pianof.,0,16,No,"Mezger, Franz",,
October,1798,1.02,"Mozart, W. A.",Hymne: Gottheit über alle mächtig etc. mit Begleitung der Klaviers.,0,16,No,"Mozart, Wolfgang Amadeus",1756,1791
November,1798,1.03,"Müller, A. E.",5 Sonatines progressives pour le Pianoforte. Op. 18. ts.,0,16,No,"Müller, August Eberhard",1767,1817
November,1798,1.03,Pleyel,"Neueste Sammlung leichter Klavierstücke, 1te Sammlung. ts.",0,16,No,"Pleyel, Ignace Joseph",1757,1831
November,1798,1.03,Cetius,"Lob der Liebe, für das Klavier oder Fortepiano. va.",0,3,No,Cetius,,
November,1798,1.03,Emmert und Hacker,"Lieder fürs Klavier, aus den Blüthen und Früchten vom Jahre 1798. Herausgegeben von Wismayer. va.",0,4,No,"Emmert, Johann Joseph",1732,1809
November,1798,1.03,Naurmann,Canto de’ Pellegrini dell’ istesso oratorio aggiustato per l’Arpa o Cembalo. hr.,0,8,No,"Naumann, Johann Gottlieb",1741,1801
November,1798,1.03,Lorenz,Ode an die Nachtigall von Herrn Dr. Kosegarten. rb.,0,8,No,Lorenz,,
November,1798,1.03,Lorenz,"Sinna und Selmar, eine Romanze von Kosegarten. rb.",1,0,No,Lorenz,,
November,1798,1.03,Lauska,Andante con Variazioni. rb.,0,4,No,"Lauska, Franz",1764,1825
November,1798,1.03,Dritter,"Marsch des General Buonaparte, und Preußischer Regiments Hops- oder Quickmarsch fürs Pianoforte. rb.",0,2,No,Dritter,,
November,1798,1.03,Mozart,"Lieder, die zu späte Ankunft der Mutter etc. No. 12 und 13. rb.",0,4,No,"Mozart, Wolfgang Amadeus",1756,1791
November,1798,1.03,Mozart,Am Grabe meines Vaters etc. No. 15. rb.,0,4,No,"Mozart, Wolfgang Amadeus",1756,1791
November,1798,1.03,Mozart,detto. No. 18–20. rb.,0,8,No,"Mozart, Wolfgang Amadeus",1756,1791
November,1798,1.03,Mozart,detto. No. 21. rb.,0,8,No,"Mozart, Wolfgang Amadeus",1756,1791
November,1798,1.03,Mozart,detto. No. 22–25. rb.,0,4,No,"Mozart, Wolfgang Amadeus",1756,1791
November,1798,1.03,Mozart,detto. No. 26–28. rb.,0,4,No,"Mozart, Wolfgang Amadeus",1756,1791
November,1798,1.03,Mozart,detto. No. 29–31. rb.,0,4,No,"Mozart, Wolfgang Amadeus",1756,1791
November,1798,1.03,Mozart,detto. No. 32–35. rb.,0,4,No,"Mozart, Wolfgang Amadeus",1756,1791
November,1798,1.03,Mozart,Sämmtliche Lieder und Gesänge beym Klavier. rb.,3,0,No,"Mozart, Wolfgang Amadeus",1756,1791
November,1798,1.03,Mozart,Nachgelassene Lieder und Gesänge beym Klavier. rb.,0,16,No,"Mozart, Wolfgang Amadeus",1756,1791
November,1798,1.03,Salieri,Bravour-Arie aus Palmira: Du bist für mich gebohren etc. No. 6. rb.,0,12,No,"Salieri, Antonio",1750,1825
November,1798,1.03,Himmel,"deutsches Lied, Seiner Majestät dem König Friedrich Wilhelm dem Dritten zu Dero hohen Geburtsfeyer am dritten Aug. 1798. rb.",0,4,No,"Himmel, Friedrich Heinrich",1765,1814
November,1798,1.03,Himmel,"Wiegenlied von Herklots, Ihro Majestät der regierenden Königin von Preußen bey Gelegenheit Höchat Dero glucklichen Entbindung am 24. July 1798. rb.",0,4,No,"Himmel, Friedrich Heinrich",1765,1814
November,1798,1.03,Salieri,"Ouverture, Favoritgesänge und Märsche aus der Oper Palmira, rb.",1,0,No,"Salieri, Antonio",1750,1825
November,1798,1.03,,Journal des deutschen Theatergesanges. 8s und 9s Heft. rb. à,0,10,No,,,
November,1798,1.03,,Journal des deutschen Theatergesanges. 8s und 9s Heft. rb. à,0,10,No,,,
November,1798,1.03,Sachini,"Ouverture, Ballets et Airs choisis de l’opéra Oedipe à Colone. rb.",1,8,No,"Sacchini, Antonio",1730,1786
November,1798,1.03,Sachini,"Arie aus detto. No. 11 u. 12, rb.",0,2,No,"Sacchini, Antonio",1730,1786
November,1798,1.03,,Favoritgesänge aus verschiedenen Opern für 2 Flöten oder Violinen eingerichtet. rb.,0,16,No,,,
November,1798,1.03,Berwald,"Trois Polonoises pour le Fortepiano, deux avec l’accompagnement d’un Violon. Op. 1. rb.",0,8,No,"Berwald, Johan Fredrik",1787,1861
November,1798,1.03,,Polonoise und Duett ans Lodoiska. rb.,0,9,No,,,
November,1798,1.03,Weiß,"12 deutsche Lieder beym Klavier zu singen. 2ter Theil, gb.",1,0,No,Weiss,,
November,1798,1.03,Beecke,6 Lieder von Matthison. gb.,1,0,No,"Beecke, Ignaz von",1733,1803
November,1798,1.03,Struck,"3 Sonates pour le Clavecin ou Pianoforte avec Accompagnement de Flûte ou Violon et Violoncelle obligé, Op. 4. ae.",2,16,No,"Struck, Paul",1776,1820
November,1798,1.03,Soller,"6 Aires, variés pour Clarinette et Alto. Op. 4. ae.",1,8,No,"Solère, Pedro Étienne",1753,1817
November,1798,1.03,Ferrari,Duo pour 2 Fortepiano ou Fortepiano et Harpe. Op. 20. ae.,1,4,No,"Ferrari, Giacomo Gotifredo",1763,1842
November,1798,1.03,Devienne,3 Sonates pour une Flûte avec Accompagnement de Basse. Op. 58. ae.,1,4,No,"Devienne, François",1759,1803
November,1798,1.03,Devienne,Pot pourri pour Flûte traversiere avec Violon ad libitum. Op. 60. ae.,0,10,No,"Devienne, François",1759,1803
November,1798,1.03,Devienne,"6 Duos d’Airs, variés pour 2 Flûtes. Op. 63. ae.",2,0,No,"Devienne, François",1759,1803
November,1798,1.03,Devienne,6 Duos dialogués pour 2 Flûtes. Op. 65. ae.,2,0,No,"Devienne, François",1759,1803
November,1798,1.03,Devienne,"3 Quatuors concertans pour Flûte. Violon, Alto et Basse. Op. 66. ae.",2,0,No,"Devienne, François",1759,1803
November,1798,1.03,Wesely,"3 Quatuors concertans pour 2 Violons, Alto et Violoncelle. Op. 9. ae.",2,0,No,"Wesley, Charles",1757,1834
November,1798,1.03,Wesely,detto. Op. 10. ae.,2,0,No,"Wesley, Charles",1757,1834
November,1798,1.03,Richter,3 Duos pour 2 Violons. Op. 5. ae.,1,8,No,Richter,,
November,1798,1.03,Richter,"3 Trios concertans pour Flûte, Violon et Violoncelle. Op. 4. ae.",1,16,No,Richter,,
November,1798,1.03,Grasset,"Concerto à Violon principal avec Accompagnement de 2 Violons, 2 Hautbois, 2 Cors, Alto et Basse. Op. 2. ae.",1,16,No,"Grasset, Jean-Jacques",1769,1839
November,1798,1.03,Brandl,"Quatuor pour Flûte, Violon, Viola et Violoncelle. Op. 15. ae.",0,20,No,"Brandl, Johann",1763,1837
November,1798,1.03,Dornaus,six petites pieces pour 1 Flûte et 2 Cors. Op. 1. ae.,0,14,No,"Dornaus, Philippe",,
November,1798,1.03,Stumpf,"pièces d’Harmonie pour 2 Clarinettes, 2 Cors et 2 Bassons. Neuvieme Recueil tiré de l’opéra: Das unterbrochene Opferfest. ae.",1,0,No,"Stumpf, Johann Christian*",1740,1801
November,1798,1.03,Friedl,3 Sonates pour Violoncelle et Basse. op. 1. ae.,1,8,No,"Friedl, Sebastian Ludwig",1768,1857
November,1798,1.03,Vignetti,Caprices pour le Violon. Op. 2. ae.,1,8,No,"Vignetti, P.",,
November,1798,1.03,Pleyel,6 Trios pour 2 Violons et Violoncelle. Op. 56. Liv. 1 und 2. ae. à,1,16,No,"Pleyel, Ignace Joseph",1757,1831
November,1798,1.03,Pleyel,6 Trios pour 2 Violons et Violoncelle. Op. 56. Liv. 1 und 2. ae. à,1,16,No,"Pleyel, Ignace Joseph",1757,1831
November,1798,1.03,Pleyel,"Sinfonie concertante pour 2 Violons principaux avec Accompagnement de 2 Violons, Alto, Basse, 2 Hautbois, 2 Cors et 2 Bassons. Op. 57. ae.",1,20,No,"Pleyel, Ignace Joseph",1757,1831
November,1798,1.03,Methfessel,swölf Lieder fürs Klavier. ae.,1,0,No,"Methfessel, Friedrich",1771,1807
November,1798,1.03,"Bauer, Catherine",Douze Variations pour le Pianoforte. ae.,0,12,No,"Bauer, Catharina",1785,1808
November,1798,1.03,Sterckel,Douze Variations pour le Pianoforte. Op. 35. ae.,0,20,No,"Sterkel, Johann Franz Xaver",1750,1817
November,1798,1.03,Sterckel,Grande Sonate pour le Pianoforte. Op. 36. ae.,0,20,No,"Sterkel, Johann Franz Xaver",1750,1817
November,1798,1.03,Lämmerhirt,2 Sonates faciles à quatre mains pour le Pianoforte. Op. 2. ae.,1,8,No,Lämmerhirt,,
November,1798,1.03,Clementi,3 Sonates pour le Pianoforte. Op. 39. ae.,2,0,No,"Clementi, Muzio",1752,1832
November,1798,1.03,,Marches de diverses Corps francs de Vienne pour le Clavecin ou Pianoforte par differens Maitres. ar.,0,6,No,,,
November,1798,1.03,Ferrari,3 Sonates per il Clavicembalo o Fortepiano con Accompagnamento d’un Violino e Basso. Op. 6. ar.,2,0,No,"Ferrari, Giacomo Gotifredo",1763,1842
November,1798,1.03,Gelineck,XII Variations pour le Clavecin ou Pianoforte: Sur le Trio: pria che l’Impegno; tiré del opéra l’Amor Maritato. No. 13. ar.,0,12,No,"Gelinek, Josef",1758,1825
November,1798,1.03,Gelineck,XII Variations pour le Clavecin ou Pianoforte sur une pièce tirée du Ballet Alcine. No. 12. ar.,0,12,No,"Gelinek, Josef",1758,1825
November,1798,1.03,Tuch,VI Ländersche Tänze für das Klavier oder Fortepiano. va.,0,8,No,"Tuch, Heinrich Agathon Gottlieb",1766,1821
November,1798,1.03,Pleyel,Recueil de trois pièces pour le Clavecin ou Harpe. 42me Partie de Clavecin. ar.,0,16,No,"Pleyel, Ignace Joseph",1757,1831
November,1798,1.03,Pleyel,Variations pour le Clavecin ou Harpe. No. 4. ar.,0,8,No,"Pleyel, Ignace Joseph",1757,1831
November,1798,1.03,Mozart,Trio per il Clavicembalo o Fortepiano con l’Accompagnamento d’un Violino e Violoncello. Op. 42. ar.,1,0,No,"Mozart, Wolfgang Amadeus",1756,1791
November,1798,1.03,Pär,Eloisa ed Abeilardo agli Elisi. Cantata a due Voci con l’Accompagnamento di Cembalo o Pianoforte. ar.,1,8,No,"Paer, Ferdinando",1771,1839
November,1798,1.03,Clementi,3 Sonates per il Clavicembalo o Fortepiano. Op. 39. ar.,1,16,No,"Clementi, Muzio",1752,1832
November,1798,1.03,Edel,8 Variations pour le Fortepiano sur le Duo (Wer Menuet hat erfunden etc.) de l’opera: Eins und Drey de Mr. Perinet. ar.,0,8,No,"Edel, Johann Georg",,
November,1798,1.03,Haydn,Trio pour le Clavecin ou Pianoforte avec Accompagnement d’un Violon et Violoncelle. Op. 80. ar.,1,0,No,"Haydn, Joseph",1732,1809
November,1798,1.03,Haydn,Recueil de trois petites pièces faciles et agréables pour le Clavecin ou Pianoforte. Op. 81. ar.,0,12,No,"Haydn, Joseph",1732,1809
November,1798,1.03,Kauer,Sonate pour le Fortépiano avec un Violon obligé. ar.,0,11,No,"Kauer, Ferdinand",1751,1831
November,1798,1.03,Mozart,Sonate pour le Clavecin ou Pianoforte. Op. 41. ar.,1,0,No,"Mozart, Wolfgang Amadeus",1756,1791
November,1798,1.03,Patzelt,9 Variations sur l’Ariette de Mr. Mozart pour le Fortépiano. ar.,0,8,No,"Patzelt, J.",,
November,1798,1.03,Pleyel,Sonate pour le Clavecin ou Pianoforte avec l’accompagnement d’un Violon. 43me Partie. ar.,1,8,No,"Pleyel, Ignace Joseph",1757,1831
November,1798,1.03,Preindl,Variations pour le Clavecin. ar.,0,12,No,"Preindl, Josef",1756,1823
November,1798,1.03,Sterckel,Sonate pour le Clavecin ou Pianoforte avec l’accompagnement d’un Violon. Op. 36. ar.,0,12,No,"Sterkel, Johann Franz Xaver",1750,1817
November,1798,1.03,Woelfl,"VI Variazions pour le Clavecin ou Pianoforte sur le Duo (Weibchen treu wie euer Schatten) tiré del opéra: Das Labyrinth, oder der Kampf mit den Elementen, de Mr. Winter. ar.",0,11,No,"Wölfl, Joseph",1773,1812
November,1798,1.03,Zingarelli,Dio salvi Francesco Imperadore pour le Clavecin. ar.,0,16,No,"Zingarelli, Niccolò Antonio",1752,1837
November,1798,1.03,Ziegelhauser,24 Oesterreichische Ländler Tänze für das Fortepiano. ar.,0,14,No,"Ziegelhauser, Johann Nepomuk",,
November,1798,1.03,Hoffmeister,"2 Airs de l’opéra: la grotta di Trofonio de Mr. A. Salieri arrangés pour Flûte, Violon, 2 Violes et Basse. ar.",1,0,No,"Hoffmeister, Franz Anton",1754,1812
November,1798,1.03,Hoffmeister,"Quartetto per 2 Violini, Viola e Violoncello. Op. 38. ar.",1,0,No,"Hoffmeister, Franz Anton",1754,1812
November,1798,1.03,Pleyel,"3 Quartettos per Flauto o Violino primo, Vioino secundo, Viola e Basso. Op. 41. ar.",1,16,No,"Pleyel, Ignace Joseph",1757,1831
November,1798,1.03,Ziegelhauser,XII Variations pour 2 Violons sur l’air: a Schüsserl und a Reindel ist all etc. ar.,0,8,No,"Ziegelhauser, Johann Nepomuk",,
December,1798,1.04,"Müller, A. E.",Journal pour la Flûte contenant plusieurs pièces d’une difficulté progressíve. Cahier I. g. e. b.,0,16,No,"Müller, August Eberhard",1767,1817
December,1798,1.04,,"Walzer fürs Klavier oder Fortepiano, aufgeführt durch Se. K. Hoheit Prinz Carl in Prag. g. e. b.",0,2,No,,,
December,1798,1.04,Mozart,XVIII Valzes arrangées pour 2 Flûtes ou 2 Violons (Seconde partie ad libitum) par J. H. Clasing. Liv. 1 u. 2. g. e. b. à,0,12,No,"Mozart, Wolfgang Amadeus",1756,1791
December,1798,1.04,Mozart,XVIII Valzes arrangées pour 2 Flûtes ou 2 Violons (Seconde partie ad libitum) par J. H. Clasing. Liv. 1 u. 2. g. e. b. à,0,12,No,"Mozart, Wolfgang Amadeus",1756,1791
December,1798,1.04,,"Arie, über die Beschwerden dieses Lebens, aus der Oper: Der kleine Matrose. Im Klavierauszuge. g. e. b.",0,3,No,,,
December,1798,1.04,J. M.,"Ouverture fürs Klavier oder Fortepiano, zum Besten eines Abgebrannten in Oldeslohe. g. e. b.",0,8,No,J. M.,,
December,1798,1.04,,"Air du petit Matelot, Musique de P. Gaveaux. g. e. b.",0,3,No,,,
December,1798,1.04,Giornovichi,"3 Duos pour 2 Violons, tirés du premier oeuvre de quatours. g. e. b.",1,8,No,"Giornovichi, Giovanni",1747,1804
December,1798,1.04,,Romance du prisonnier pour le Pianoforte. g. e. b.,0,4,No,,,
December,1798,1.04,Ferguson,Neuf Variations sur l’air de la Pastorale de Nina pour le Clavecin. Op. 10. No. 1. g. e. b.,0,12,No,"Ferguson, Ludwig-Wilhelm Tepper de",1768,1838
December,1798,1.04,,Marche du Général Buonaparte. g. e. b.,0,2,No,,,
December,1798,1.04,Mussini,Canzonetta italiana e francesca per il Soprano e Fortepiano. g. e. b.,0,2,No,"Mussini, Natale",1765,1837
December,1798,1.04,Satzenhoven,14 Balli Tedeschi con una grande Coda per il Fortepiano. g. e. b.,0,2,No,"Satzenhoven, Friedrich",1772,1825
December,1798,1.04,Elsner,"3 Quatuors du meilleur goût pelonois pour 2 Violons, Alto et Violoncelle. tg.",2,0,No,"Elsner, Józef Antoni Franciszek",1769,1854
December,1798,1.04,Beethoven,3 Trios pour un Violon seul. tg.,0,6,No,"Beethoven, Ludwig van",1770,1827
December,1798,1.04,Mestrino,Caprice pour un Violon seul. tg.,0,6,No,"Mestrino, Nicola",1748,1789
December,1798,1.04,Traeg,VI Fantaisies pour une Flùte. Op. 1. tg.,0,9,No,"Traeg, Andreas (d. after 1819)",,
December,1798,1.04,Elsner,grande Sonate pour le Clavecin ou Fortépiano avec Accompagnement d’un Violon et Violoncelle obligés. tg.,1,0,No,"Elsner, Józef Antoni Franciszek",1769,1854
December,1798,1.04,Wölfl,IX Variations sur le Choeur du Papagéno: Ach schön willkommen tiré de l’opéra: Der zweyte theil der Zauberflöte sous le Titre: Das Labyrinth oder der Kampf it den Elementen. No. 4. tg.,0,12,No,"Wölfl, Joseph",1773,1812
December,1798,1.04,Wölfl,"IX Variations sur le Duo: Herbey, herbey ihr Leute, tire de l’opéra: der zweyte Theil der Zauberflöte das Labyrinth oder der Kampf mit den Elementen. No. 5. tg.",0,9,No,"Wölfl, Joseph",1773,1812
December,1798,1.04,Mozart,differentes petites piéces pour le Fortépiano. No. 1. tg.,0,11,No,"Mozart, Wolfgang Amadeus",1756,1791
December,1798,1.04,Reicha,Trio pour 3 Flûtes. Op. 26. sr.,0,16,No,"Reicha, Anton",1770,1836
December,1798,1.04,Reicha,8 petits Duos pour 2 Flûtes. Op. 25. sr.,0,16,No,"Reicha, Anton",1770,1836
December,1798,1.04,Gabler,Fantasie pour la Harpe ou Pianoforte. Op. XII. sr.,0,12,No,"Gabler, Christoph August",1767,1839
December,1798,1.04,Gaveaux,"Arie, über die Beschwerden dieses Lebens, aus der Oper: Der kleine Matrose. sr.",0,4,No,"Gaveaux, Pierre",1760,1825
December,1798,1.04,Mozart,"Sinfonia del opera: Don Giovanni osia il Dissoluto punto, ridotta a quatro mani per il Cembalo o Pianoforte. sr.",0,16,No,"Mozart, Wolfgang Amadeus",1756,1791
December,1798,1.04,Löwe,Ouverture und Favoritgesänge aus der Oper: Die Verführung. Im Klavierauszuge. sr.,1,12,No,Löwe,,
December,1798,1.04,Fuchs,3 Trios concertants pour 2 Violons et Violoncelle. Op. 45. Liv. 1 un. 2. sr. à,1,0,No,"Fuchs, Georg-Friedrich",1752,1821
December,1798,1.04,Fuchs,3 Trios concertants pour 2 Violons et Violoncelle. Op. 45. Liv. 1 un. 2. sr. à,1,0,No,"Fuchs, Georg-Friedrich",1752,1821
December,1798,1.04,Vogel,"quatuor pour Flûte, Violon, Alto et Basse. Op. 36. sr.",0,20,No,"Vogel, Louis*",,
December,1798,1.04,Pleyel,3 Trios pour 2 Violons et Violoncelle. Op. 51. Partie 1 u. 2. sr. à,1,12,No,"Pleyel, Ignace Joseph",1757,1831
December,1798,1.04,Pleyel,3 Trios pour 2 Violons et Violoncelle. Op. 51. Partie 1 u. 2. sr. à,1,12,No,"Pleyel, Ignace Joseph",1757,1831
December,1798,1.04,Rault,3 Duos concertants pour 2 Flûtes. Op. 7. sr.,0,16,No,"Rault, Félix",1736,1800
December,1798,1.04,Sallatin,"premier Concert pour Flûte principale, 2 Violons, Alto, Basse: 2 Hautbois, 2 Cors ad Libitum. sr.",1,4,No,"Sallantin, Antoine",1755,1830
December,1798,1.04,Lacroix,"5 Quatuors pour 2 Violons, Alto et Violoncelle. Op. 17. sr.",1,16,No,"Lacroix, Antoine",1756,1806
December,1798,1.04,Neubauer,6 Solos pour la Flûte accompagnés d’une Basse. Op. 21. sr.,1,16,No,"Neubauer, Franz Christoph",1760,1795
December,1798,1.04,D’Alairac,"Azémia, grand opéra ridotta in Quartetti per 2 Violini, Viola e Basso. sr.",1,16,No,"Dalayrac, Nicolas",1753,1809
December,1798,1.04,Pleyel,"6 Nouvelles Sonates progressives pour Piano avec Accompagnement d’un Violon, suite de l’oeurvre 27. pl.",2,16,No,"Pleyel, Ignace Joseph",1757,1831
December,1798,1.04,Pleyel,Suite de Douse grandes Sonates de Fortépiano avec Accompagnement de Violon et Violoncelle. Op. 33. 3 Livr. pl.,2,16,No,"Pleyel, Ignace Joseph",1757,1831
December,1798,1.04,Almeyda,"6 Quatuors pour 2 Violons, Alto et Basse. Op. 2. pl.",2,6,No,"Almeida Mota, João Pedro",1744,1817
December,1798,1.04,Mozart,"3 Quatuors pour 2 Violons, Alto et Violoncelle. Op. 36. pl.",2,4,No,"Mozart, Wolfgang Amadeus",1756,1791
December,1798,1.04,Mozart,"3 Quatuors nouveaux pour 2 Violons, Alto et Basse. Op. 37. pl.",2,16,No,"Mozart, Wolfgang Amadeus",1756,1791
December,1798,1.04,Mozart,Douze Airs Favoris pour 2 Flûtes et Basson de l’opéra de Don Juan. pl.,1,18,No,"Mozart, Wolfgang Amadeus",1756,1791
December,1798,1.04,Bocherini,"Douze Quatuors pour 2 Violons, Viola et Violoncelle. Op. 39 2te Livr. pl.",2,4,No,"Boccherini, Luigi",1743,1805
December,1798,1.04,Bocherini,"6 Quartetti pour 2 Violons, Alto et Basse. Op. 40. pl.",2,16,No,"Boccherini, Luigi",1743,1805
December,1798,1.04,Bocherini,"Sinfonie concertante à huit Instrumens obligés pour 2 Violons, 2 Violoncelles, Alto, Oboe ou Flûte, Cor et Basson. Op. 41. pl.",1,18,No,"Boccherini, Luigi",1743,1805
December,1798,1.04,Bocherini,"Six Duos pour 2 Violons, Alto, Cor et 2 Violoncelles. Op. 42. pl.",1,18,No,"Boccherini, Luigi",1743,1805
December,1798,1.04,Bocherini,"Ouverture à grand Orchestre, pour 2 Violons, 2 Alto, Violoncelle, Contre Basse, 2 Hautbois, 2 Cors et Basson. Op. 43. pl.",1,18,No,"Boccherini, Luigi",1743,1805
December,1798,1.04,Schönbeck,3 Duos pour Viola et Violoncelle. Op. 2. hl.,1,4,No,"Schönebeck, Karl Siegmund (d. after 1806)",1758,
December,1798,1.04,Mozarts,"Ouverture de l’opéra: Così fan tutte, arrangé pour le Clavecin ou Pianoforte avec Accompagnement d’un Violon et Violoncelle. hl.",0,18,No,"Mozart, Wolfgang Amadeus",1756,1791
December,1798,1.04,Köhler,"3 Parties pour 2 Clarinettes, 2 Cors et 2 Bassons. hl.",1,4,No,"Köhler, Gottlieb Heinrich",1765,1833
December,1798,1.04,Wranitzky,6 Duos pour 2 Flûtes traversieres. Op. 2. hl.,1,18,No,"Wranitzky, Paul",1756,1808
December,1798,1.04,Vogel,3 Duos pour 2 Flûtes. Op. 35. gb.,1,8,No,"Vogel, Louis*",,
December,1798,1.04,Weigl,Duetti per 2 Flauti dell opera l’amor marinaro. gb.,0,19,No,"Weigl, Joseph",1766,1846
December,1798,1.04,Schick,Andantino avec 8 Variations pour le Pianoforte. gb.,0,9,No,Schick,,
December,1798,1.04,Abeille,6 Allemandes pour le Pianoforte. Liv. 1. gb.,0,9,No,"Abeille, Ludwig",1761,1838
December,1798,1.04,Neubauer,3 Duos pour 2 Violons. Op. 4. gb.,1,8,No,"Neubauer, Franz Christoph",1760,1795
December,1798,1.04,Neubauer,3 Duos pour 2 Flûtes. Op. 5. gb.,1,8,No,"Neubauer, Franz Christoph",1760,1795
December,1798,1.04,Krommer,VIII Variations pour Violon et Basse. Op. 14. gb.,0,8,No,"Krommer, Franz",1759,1831
December,1798,1.04,Destouches,Fantaisie pour le Pianoforte. Op. X. gb.,0,9,No,"Destouches, Franz Seraph von",1772,1844
December,1798,1.04,Pleyel,3 grandes Sonates pour le Fortépiano avec Accompagnment de Violon et Violoncelles. Op. 33. Liv. 3. gb.,2,8,No,"Pleyel, Ignace Joseph",1757,1831
December,1798,1.04,Gyrowetz,2e Notturno pour le Pianoforte avec l’Accompagnement d’un Violon et Violoncelle. Op. 24. 25. gb. à,1,8,No,"Gyrowetz, Adalbert",1763,1850
December,1798,1.04,Gyrowetz,2e Notturno pour le Pianoforte avec l’Accompagnement d’un Violon et Violoncelle. Op. 24. 25. gb. à,1,8,No,"Gyrowetz, Adalbert",1763,1850
December,1798,1.04,Salieri,"Palmira, Ouverture und 15 Favoritgesänge mit italienischem und deutschem Texte, fürs Klavier. sk.",2,0,No,"Salieri, Antonio",1750,1825
December,1798,1.04,Neefe,Fantaisie per il Clavicembalo. sk.,0,16,No,"Neefe, Christian Gottlob",1748,1798
December,1798,1.04,Haydn,"Ouverture, arrangé pour le Pianoforte de l’Operette: Orlando Palandino (Der wüthende Roland) sk.",0,8,No,"Haydn, Joseph",1732,1809
December,1798,1.04,Dusseck,6 Leçons progressives pour le Clavecin ou Pianoforte. Liv. II. hl.,1,8,No,"Dussek, Jan Ladislav",1760,1812
